id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,divident_type
,0.6,1.44C FRANKED@30%; N IL CFI; DRP,2018-04-18,0.024,2018-03-13,2018-03-14,D2O,Interim
,0.55,9.6644C FRANKED@30%;  0.549C CFI; DRP,2017-07-14,0.175784,2017-06-29,2017-06-30,DIV,Final
,0.89,29.981399C FR@30%; 1 .9539C CFI; DRP,2017-10-16,0.335879,2017-09-28,2017-09-29,DIV,Interim
,0.61,7.0248C FR@30%; 0.96 06C CFI; DRP,2018-01-15,0.115437,2017-12-28,2017-12-29,DIV,Interim
,1,10C FRANKED @30%; 7. 14C LIC CG; DRP,2017-08-25,0.1,2017-08-04,2017-08-07,DJW,Final
,1,10C FRANKED @30%; 7. 14C LIC CG; DRP,2018-02-21,0.1,2018-01-29,2018-01-30,DJW,Interim
,1,8C FRANKED @ 30%; DR P NIL DISCOUNT,2017-09-22,0.08,2017-08-30,2017-08-31,DUI,Final
,1,6.5C FRANKED @ 30%;  DRP NIL DISCOUNT,2018-03-14,0.065,2018-02-22,2018-02-23,DUI,Interim
,0.21,4.916579C FR@30%;DRP  SUSPENDED,2017-08-29,0.2376,2017-06-29,2017-06-30,DXS,Final
,0,DRP SUSPENDED,2018-02-28,0.237,2017-12-28,2017-12-29,DXS,Interim
,1,1.5C FRANKED @ 27.5% ; DRP,2017-10-06,0.015,2017-09-05,2017-09-06,EGI,Final
,1,2.5C FRANKED @ 27.5% ;1C SPECIAL; DRP,2018-05-18,0.025,2018-04-24,2018-04-26,EGI,Interim
,0,1.83C TAX DEFERRED;  DRP,2017-08-01,0.03,2017-06-29,2017-06-30,EMF,Final
,0,DRP,2018-02-05,0.03,2017-12-28,2017-12-29,EMF,Interim
,0,DRP SUSPENDED,2017-09-01,0.050008,2017-06-29,2017-06-30,ERF,Final
,0,DRP SUSPENDED,2018-03-02,0.051507,2017-12-28,2017-12-29,ERF,Interim
,0.68,20.8648C FR@30%;0.02 36C CFI;DRP NIL DISC,2018-01-15,0.304671,2017-12-28,2017-12-29,ETF,Interim
,0,DRP,2017-07-20,0.0355,2017-06-29,2017-06-30,FET,Final
,0,DRP,2017-10-20,0.03775,2017-09-28,2017-09-29,FET,Interim
,0,DRP,2018-01-22,0.03775,2017-12-28,2017-12-29,FET,Interim
,0,DRP,2018-04-20,0.03775,2018-03-28,2018-03-29,FET,Interim
,1,1C FRANKED@27.5%; DR P NIL DISCOUNT,2017-10-27,0.01,2017-10-17,2017-10-18,FGG,Interim
,1,2.2C FRANKED@30%; DR P NIL DISCOUNT,2017-10-27,0.022,2017-10-17,2017-10-18,FGX,Interim
